Periodo,Índice,Variación Mensual,Variación Anual
Octubre,104.575189296959,-0.80529444035,1.957258928848
Noviembre,104.046313954083,-0.505736921378,1.275467077972
Diciembre,105.087475417796,1.000671166662,2.82162624393
2017
Enero,103.914518525243,-1.116171920478,0.962338349981
Febrero,103.250563728612,-0.638943244942,0.061591118061
Marzo,103.472473801875,0.214923836974,-0.4481849377
Abril,103.58589573802,0.109615564389,-0.492490900977
Mayo,103.660233769595,0.071764626878,-0.727185351345
Junio,103.433152143481,-0.219063393797,-1.211469885077
Julio,102.952591042814,-0.464610321457,-1.931306357234
Agosto,103.138823859998,0.180891821466,-1.76956702433
Septiembre,103.483390640392,0.334080579454,-1.840919113819
Octubre,103.137522592193,-0.334225662745,-1.374768445968
Noviembre,103.561067491357,0.410660338273,-0.466375447899
Diciembre,103.435075985881,-0.121659141343,-1.572403776326
